,name,id,artist,artist_id,popularity,release_date,season
41,Sundown,0SjnBEHZVXgCKvOrpvzL2k,Gordon Lightfoot,23rleGXVOVVgTk3xgtmfE4,67,1974,summer
42,Jump in the Line,1zW2csx1vVJrKfvDrFQNVt,Harry Belafonte,6Tw1ktF4xMmzaLLbe98I2z,67,1961-07-21,summer
43,Sailing,6Hu6dzwlvoyg3zBUC8k4BK,Christopher Cross,695W5F2Ih8dYahLdjVOIoH,67,1979,summer
44,Son of a Preacher Man,7odHgoLFi3GQ90E9PeraI3,Dusty Springfield,5zaXYwewAXedKNCff45U5l,67,1969-03-31,summer
45,Do You Believe in Magic?,1udKn1oNKYQSQ9OmiIWCMu,The Lovin' Spoonful,7CCn4PFRRRZF127jtCBAUe,66,1965-11,summer
46,All I Have to Do Is Dream,7dblNGnRXEBrVJunazs2U5,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,66,1964-08-01,summer
47,La Bamba - Single Version,2aEeghgUcnu75tzcolFMfs,Ritchie Valens,5Y9xEAGW4GwGJgbiI6W85P,66,1959,summer
48,Daydream Believer,7uEcCGtM1FBBGIhPozhJjv,The Monkees,320EPCSEezHt1rtbfwH6Ck,66,1968-04-22,summer
49,Don't Worry Baby - Remastered 2001,1GLmaPfulP0BrfijohQpN5,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,65,1964-03-02,summer
50,Summer Breeze,3B0ms7Xlxl16tRztKHpcu9,Seals and Crofts,6jdObwsrIjSRnBbMw6lPBj,65,1972,summer
51,Piece of My Heart,1xKQbqQtQWrtQS47fUJBtl,Big Brother & The Holding Company,4J69yWrKwWJgjv3DKTZcGo,65,1968-08-12,summer
52,Ain't Too Proud To Beg,4CoGNqLap7UGU5Q3VdKug0,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,64,1966,summer
53,Everybody Loves The Sunshine,5le4sn0iMcnKU56bdmNzso,Roy Ayers Ubiquity,3WbeZvDk1COiO2dEokZqn7,64,1976-05-12,summer
54,Wouldn't It Be Nice,2Gy7qnDwt8Z3MNxqat4CsK,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,64,1966-06-16,summer
55,I Feel the Earth Move,1BWsOxeMx83OrKGCV4gxly,Carole King,319yZVtYM9MBGqmSQnMyY6,63,1971,summer
56,I'll Take You There,5YLnfy7R2kueN0BRPkjiEG,The Staple Singers,7xGGqA85UIWX1GoTVM4itC,63,2007-01-01,summer
57,"Monday, Monday - Single Version",3EFb1qDgIqf9MegIryKtDj,The Mamas & The Papas,1bs7HoMkSyQwcobCpE9KpN,63,1966-03,summer
58,Saturday in the Park - 2002 Remaster,4OJFkrRQqol4FsPesF8eu4,Chicago,3iDD7bnsjL9J4fO298r0L0,63,1972-07-10,summer
