,name,id,artist,artist_id,popularity,release_date,season
2380,Blue Eyed Sally,60Z6OQKRDPU1edGgWanUYs,Parker McCollum,0Z8XVUAOBPM4x12wKnFHEQ,0,2017-11-10,winter
2381,Starting Over,3K07bGe8iljQ3mOKArHLDo,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,75,2020-11-13,winter
2382,You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,81,2020-11-13,winter
2383,Memphis Rain,5EZQFQFSuXkwMQjD2gi5Bk,Parker McCollum,0Z8XVUAOBPM4x12wKnFHEQ,0,2017-11-10,winter
2384,All Day,34iHdLUQE8rt4cMmJJytAZ,Parker McCollum,0Z8XVUAOBPM4x12wKnFHEQ,0,2015-02-24,winter
2385,Old Fashioned,0HQGh8pOIAk8a63LcpO57O,William Clark Green,0cshCXEe1I7wlRwdrL91ZQ,33,2015-04-21,winter
2386,"Raise Hell, Drink Beer",4GfGBhr5Ckk5i61K7oZQwX,Eleven Hundred Springs,3xU9SGbqqwKMkb4VebrgmY,0,2010-04-20,winter
2387,Why You Been Gone So Long,5Q5Q3TKwAFpfVzTsOKdUc0,Eleven Hundred Springs,3xU9SGbqqwKMkb4VebrgmY,0,2006-01-01,winter
2388,This Ain't the First Time (But It's the Worst Time),4wrTlSxWh7q4H5i9GaZSnI,Eleven Hundred Springs,3xU9SGbqqwKMkb4VebrgmY,0,2011-02-15,winter
2389,Burn Out,7yrJnekdlwWARt5lmVqJ6L,Midland,1DTZRmlVZBxx2wRQBtx6yi,63,2017-09-22,winter
2390,Cheatin’ Songs,01dBLHq3UWyDRWDZJXj235,Midland,1DTZRmlVZBxx2wRQBtx6yi,57,2019-08-23,winter
2391,Mr. Lonely,6V6Fma9lttQBnIaeHdZ4eC,Midland,1DTZRmlVZBxx2wRQBtx6yi,52,2019-08-23,winter
2392,Make A Little,7nDLdzyh2IDjL77JBmZTiQ,Midland,1DTZRmlVZBxx2wRQBtx6yi,49,2017-09-22,winter
2393,New Orleans,06fyNiYzxAPt1RiDjc0HVg,Parker McCollum,0Z8XVUAOBPM4x12wKnFHEQ,0,2015-02-24,winter
2394,And Then Some,505kT6AJfBapiMCMB4xcpt,Midland,1DTZRmlVZBxx2wRQBtx6yi,37,2021-07-16,winter
2395,Two To Two Step,0fRgzc8RmZJnNY9AxGaKLk,Midland,1DTZRmlVZBxx2wRQBtx6yi,36,2021-07-16,winter
2396,Take Her Off Your Hands,38RZqMLFvJGOqZ6zD9sYBp,Midland,1DTZRmlVZBxx2wRQBtx6yi,38,2021-07-16,winter
2397,Adios Cowboy,7zd9eUWejzx4H76nCKVc2f,Midland,1DTZRmlVZBxx2wRQBtx6yi,34,2021-07-16,winter
2398,Ballad Of A Southern Man,6P7kZB7hSJFyaYJcu3cYQJ,Whiskey Myers,26opZSJcXshCmCwxgZQmBc,63,2011-04-26,winter
2399,Virginia,0sQkMsh3ojWIw7CIGsXArG,Whiskey Myers,26opZSJcXshCmCwxgZQmBc,57,2011-04-26,winter
2400,Workin' Overtime,7moCajI0QyQ4mHf1ayiihD,Lainey Wilson,6tPHARSq45lQ8BSALCfkFC,50,2018-04-06,winter
2401,Sleeping on the Blacktop,3Ozx6IrGdoQyAworJzvBDE,Colter Wall,3xYXYzm9H3RzyQgBrYwIcx,9,2015-06-02,winter
2402,The Panhandler,10ESSJ0YT5Onn3bmevOcFs,The Panhandlers,3PDBePAkhZWQPgR72nhbW8,39,2020-03-06,winter
2403,West Texas Girl,64MaYeVSSXiMQN4JfaYbSH,The Panhandlers,3PDBePAkhZWQPgR72nhbW8,29,2020-03-06,winter
2404,This Flatland Life,092ssSXPgKIhHu57Qrr0RM,The Panhandlers,3PDBePAkhZWQPgR72nhbW8,33,2020-03-06,winter
2405,No Handle,3neVQxmw66Y4Qok3XeL0E2,The Panhandlers,3PDBePAkhZWQPgR72nhbW8,21,2020-03-06,winter
2406,On the River,6ARythwX35vFJgSwv8J7fO,Whiskey Myers,26opZSJcXshCmCwxgZQmBc,49,2016-09-09,winter
2407,Life of Sin,7oop0Rsh4jhdOtglVL3Dmf,Sturgill Simpson,3vDpQbGnzRbRVirXlfQagB,56,2014-05-13,winter
2408,Straight Up Sideways,3vFqCg9QPSbY0ZltzGDj2o,Lainey Wilson,6tPHARSq45lQ8BSALCfkFC,0,2019-09-13,winter
2409,Longneck Way To Go,5GZpFMMargJUqhbLoI94Tz,Midland,1DTZRmlVZBxx2wRQBtx6yi,41,2022-04-22,winter
2410,What Else Is New,1iEQKIqqELklUU1CpP5u2A,Cody Jinks,2v7wIbCkIzxOfT3GnqCexD,0,2015-01-12,winter
2411,Somewhere in the Middle,4NVyzvWl5fzzaLUpMFQlzT,Cody Jinks,2v7wIbCkIzxOfT3GnqCexD,0,2010-06-28,winter
2412,West Texas Is The Best Texas,1wPryUZlSKbRzmNgWozq1P,The Panhandlers,3PDBePAkhZWQPgR72nhbW8,27,2022-10-07,winter
2413,How Lucky Am I,65djCR0BY2s8w1mdL270yj,Kaitlin Butts,6QmSTo72BYMATkQVOV1axD,44,2021-02-14,winter
2414,All I See Is You,46fHLVEQBcyC8VjnmdDF3q,Shane Smith & the Saints,4pLxUMyDrijXynrUP59whJ,64,2015-09-11,winter
2415,Fire in the Ocean,7EYcaTSpXviHo3VVOPxbT4,Shane Smith & the Saints,4pLxUMyDrijXynrUP59whJ,44,2022-10-21,winter
2416,Heart Like A Truck,3YaTU6ysrQHdpocY4PExjB,Lainey Wilson,6tPHARSq45lQ8BSALCfkFC,0,2022-08-12,winter
2417,Bury Me In Dixie,7KFbFqfBxqRtSSwkA874iv,Riley Green,2QMsj4XJ7ne2hojxt6v5eb,59,2018-01-01,winter
2418,Pearl Snaps,04yO1WqGaIxTk3QJIVyncw,Jason Boland & The Stragglers,1sX1MkGoDKuMzzhaALPFyZ,42,2001,winter
2419,Hold My Halo,29O197ONSFNzq063eb0869,Lainey Wilson,6tPHARSq45lQ8BSALCfkFC,54,2022-11-28,winter
2420,Love Me in the Water,2UzpMALZsnE4McAmETpvRe,Flatland Cavalry,4SfGzWmeoNPKIOmiyc7Pav,36,2015-05-19,winter
2421,Seven Bridges Road,24T44qdZXhaFn92pW2OHWh,The Wilder Blue,5hewAzHE9nqxKYvSzqtVJD,46,2023-11-14,winter
2422,Dixie Darlin',2lisOPAqbMPlVZ6z0oskeG,The Wilder Blue,5hewAzHE9nqxKYvSzqtVJD,45,2020-05-22,winter
2423,War With My Mind,6dV5ohVw7jYD7ZeMsSz15j,Flatland Cavalry,4SfGzWmeoNPKIOmiyc7Pav,54,2020-04-24,winter
2424,Ever Lovin' Hand,3R6c8mU0KUlUvEin4cJ2OJ,Tyler Childers,13ZEDW6vyBF12HYcZRr4EV,44,2019-08-02,winter
2425,The Other Side,6gDOaDZ1gIckCpjh8LdN7Q,Ryan Bingham,31z9f9AyPawiq0qlBO1M3i,53,2007-10-02,winter
2426,Banded Clovis,0o6hh58uipkorQvA8u1KTI,Tyler Childers,13ZEDW6vyBF12HYcZRr4EV,51,2017-08-04,winter
2427,Roll,3lwy3ZnXpZQ3d1lamB7AOD,Cody Jinks,2v7wIbCkIzxOfT3GnqCexD,35,2021-11-12,winter
2428,Creeker,0113kB5PUEGvDHVBopCuTo,Tyler Childers,13ZEDW6vyBF12HYcZRr4EV,52,2019-08-02,winter
2429,Wrecked,79QYGruWwuNp5EZ7ZCo7iJ,Turnpike Troubadours,1YSA4byX5AL1zoTsSTlB03,46,2012-05-08,winter
2430,A Cowboy Knows How,2tOzTbXqHG0f07Gv3vOh4e,Flatland Cavalry,4SfGzWmeoNPKIOmiyc7Pav,37,2021-07-02,winter
2431,"Gin, Smoke, Lies",1ku4L6AywP1gY36BKYRvg0,Turnpike Troubadours,1YSA4byX5AL1zoTsSTlB03,54,2012-05-08,winter
2432,In My Arms Instead,4hFSl2YfBUCY7RgZ8OhwCO,Randy Rogers Band,04DUpHOyQqwbHFyvIhcGi3,60,2008-01-01,winter
2433,Buy Myself A Chance,1EHNNWLiWe1PJADKEnMvIr,Randy Rogers Band,04DUpHOyQqwbHFyvIhcGi3,52,2008-01-01,winter
2434,Maggie's Song,50QWBrZFAhD6N4B0tbfET9,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,60,2020-11-13,winter
